Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1646330000000,03/03/2022 19:08,1646330000000,1,03/03/2022 20:07,81174,8,task-t3d4,NA,20034530,5934229,NA,complete,NA,622111f4425e32d49901569f,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1536x746,NA,ITT Ratings,7,for,2,sec_60_vegan,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1646330000000,03/03/2022 19:08,1646330000000,1,03/03/2022 20:08,81174,8,task-t3d4,NA,20034530,5934229,NA,complete,NA,622111f4425e32d49901569f,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1519x746,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,1,1,1,Screen 1,advancementZone,continue_button,6592.2,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1646330000000,03/03/2022 19:08,1646330000000,1,03/03/2022 20:08,81174,8,task-t3d4,NA,20034530,5934229,NA,complete,NA,622111f4425e32d49901569f,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1519x746,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,53,1,1,Screen 1,continueButton,response_rating_scale_likert_active,5841.1,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The animals are put down painlessly,1,24/02/2022 17:07,24/02/2022 17:10,R_3IbLSeYKb4fpYKT,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Agree,Agree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Disagree,A few times a year,Most weeks,23,Male,NA,"Undergraduate degree (BSc, BA)",NA,19,2,For,Against
4,1646330000000,03/03/2022 19:08,1646330000000,1,03/03/2022 20:08,81174,8,task-t3d4,NA,20034530,5934229,NA,complete,NA,622111f4425e32d49901569f,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1519x746,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,61,2,1,Screen 1,continueButton,response_rating_scale_likert_active,9556.2,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"I'm vegan for the animals because they have a right to live, just like we do and therefore it is immoral to kill them for food.",1,24/02/2022 17:00,24/02/2022 17:10,R_3gR7Vq0rqf4GlTd,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,A few times a year,Most days,29,Male,NA,"Undergraduate degree (BSc, BA)",NA,20,1,For,For
5,1646330000000,03/03/2022 19:08,1646330000000,1,03/03/2022 20:08,81174,8,task-t3d4,NA,20034530,5934229,NA,complete,NA,622111f4425e32d49901569f,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1519x746,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,55,3,1,Screen 1,continueButton,response_rating_scale_likert_active,4433.8,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Its an healthier diet,1,24/02/2022 17:07,24/02/2022 17:10,R_3IbLSeYKb4fpYKT,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Agree,Agree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Disagree,A few times a year,Most weeks,23,Male,NA,"Undergraduate degree (BSc, BA)",NA,19,1,For,For
6,1646330000000,03/03/2022 19:08,1646330000000,1,03/03/2022 20:08,81174,8,task-t3d4,NA,20034530,5934229,NA,complete,NA,622111f4425e32d49901569f,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1519x746,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,19,4,1,Screen 1,continueButton,response_rating_scale_likert_active,6138.4,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,animal protection and some ethical considerations,1,24/02/2022 17:02,24/02/2022 17:07,R_9oH1L7D9SSVrKEh,YES,Yes,Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,A few times a year,Most months,28,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,13,1,For,For
7,1646330000000,03/03/2022 19:08,1646330000000,1,03/03/2022 20:08,81174,8,task-t3d4,NA,20034530,5934229,NA,complete,NA,622111f4425e32d49901569f,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1519x746,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,38,5,1,Screen 1,continueButton,response_rating_scale_likert_active,6085.4,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The vegan style of life is the most healthy according to science.,1,24/02/2022 17:04,24/02/2022 17:09,R_YWeCOSSWWt4TiEh,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Agree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Disagree,Most weeks,Most days,27,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,16,2,For,For
8,1646330000000,03/03/2022 19:08,1646330000000,1,03/03/2022 20:08,81174,8,task-t3d4,NA,20034530,5934229,NA,complete,NA,622111f4425e32d49901569f,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1519x746,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,54,6,1,Screen 1,continueButton,response_rating_scale_likert_active,5846.2,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Vegan food tastes bad,1,24/02/2022 17:07,24/02/2022 17:10,R_3IbLSeYKb4fpYKT,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Agree,Agree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Disagree,A few times a year,Most weeks,23,Male,NA,"Undergraduate degree (BSc, BA)",NA,19,3,For,Against
9,1646330000000,03/03/2022 19:08,1646330000000,1,03/03/2022 20:08,81174,8,task-t3d4,NA,20034530,5934229,NA,complete,NA,622111f4425e32d49901569f,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1519x746,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,27,7,1,Screen 1,continueButton,response_rating_scale_likert_active,7319.2,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,A well-planned vegan diet can be significantly less costly than one based on animal products,1,24/02/2022 17:00,24/02/2022 17:07,R_2rMlvuMRzJ7y54z,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Agree,Strongly Agree,NA,NA,NA,Agree,Agree,Neither Agree nor Disagree,Never,Most days,24,Non-binary,NA,"Undergraduate degree (BSc, BA)",NA,14,3,For,For
10,1646330000000,03/03/2022 19:08,1646330000000,1,03/03/2022 20:08,81174,8,task-t3d4,NA,20034530,5934229,NA,complete,NA,622111f4425e32d49901569f,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1519x746,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,7,8,1,Screen 1,continueButton,response_rating_scale_likert_active,5594.6,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,ethical reasons - not to harm animals,1,24/02/2022 17:00,24/02/2022 17:06,R_d52UjUWtMBvZSb7,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,A few times a year,Once or twice a year,23,Female,NA,"Undergraduate degree (BSc, BA)",NA,11,1,For,For
