Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
11,1646244390011,02/03/2022 18:06:30,1646244389971,0,02/03/2022 18:06:29,81174,6,task-t3d4,NA,19994452,5923157,NA,complete,NA,621fb1babfe358e9a497251d,mobile,Apple iPhone,iOS 15.2.1,Safari undefined,414x896,800x339,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,56,9,1,Screen 1,continueButton,response_rating_scale_likert_active,1515,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Be Healthier and Happier,24/02/2022 16:58,24/02/2022 17:04,R_4I6IGcZhPSbxrR7,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Agree,Neither Agree nor Disagree,Disagree,Most weeks,Most days,25,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",I am very happy to fill something with this subject.,9,2,For,For
12,1646244391812,02/03/2022 18:06:31,1646244391693,0,02/03/2022 18:06:31,81174,6,task-t3d4,NA,19994452,5923157,NA,complete,NA,621fb1babfe358e9a497251d,mobile,Apple iPhone,iOS 15.2.1,Safari undefined,414x896,800x339,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,7,10,1,Screen 1,continueButton,response_rating_scale_likert_active,1701.9999999999927,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Because I love animals and respect living creatures.,24/02/2022 16:50,24/02/2022 16:54,R_2rv9z4vLZcwvFZX,YES,Yes,Confident,NA,Strongly Disagree,NA,NA,NA,Somewhat Disagree,Agree,Strongly Agree,NA,NA,NA,Strongly Agree,Agree,Agree,Most weeks,Most weeks,23,Female,NA,"Undergraduate degree (BSc, BA)",NA,1,1,For,For
13,1646244393608,02/03/2022 18:06:33,1646244393558,0,02/03/2022 18:06:33,81174,6,task-t3d4,NA,19994452,5923157,NA,complete,NA,621fb1babfe358e9a497251d,mobile,Apple iPhone,iOS 15.2.1,Safari undefined,414x896,800x339,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,26,11,1,Screen 1,continueButton,response_rating_scale_likert_active,1840,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Global warming and pollution,24/02/2022 16:53,24/02/2022 17:01,R_3kb6UAVBbutvyD6,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once or twice a year,Most weeks,22,Female,NA,"Undergraduate degree (BSc, BA)",NA,4,2,For,For
14,1646244400028,02/03/2022 18:06:40,1646244399988,0,02/03/2022 18:06:39,81174,6,task-t3d4,NA,19994452,5923157,NA,complete,NA,621fb1babfe358e9a497251d,mobile,Apple iPhone,iOS 15.2.1,Safari undefined,414x896,800x339,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,46,12,1,Screen 1,continueButton,response_rating_scale_likert_active,6409,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,because is the natural circle of life,24/02/2022 16:59,24/02/2022 17:04,R_rjpz7nY8NySy849,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Most weeks,A few times a year,29,Female,NA,"Undergraduate degree (BSc, BA)",NA,8,1,For,Against
15,1646244404266,02/03/2022 18:06:44,1646244404220,0,02/03/2022 18:06:44,81174,6,task-t3d4,NA,19994452,5923157,NA,complete,NA,621fb1babfe358e9a497251d,mobile,Apple iPhone,iOS 15.2.1,Safari undefined,414x896,800x339,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,2,13,1,Screen 1,continueButton,response_rating_scale_likert_active,4210,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"We would like to check you are reading each argument carefully. Please select ""Somewhat disagree"" for this answer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check1,NA,NA
16,1646244408693,02/03/2022 18:06:48,1646244408641,0,02/03/2022 18:06:48,81174,6,task-t3d4,NA,19994452,5923157,NA,complete,NA,621fb1babfe358e9a497251d,mobile,Apple iPhone,iOS 15.2.1,Safari undefined,414x896,800x339,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,16,14,1,Screen 1,continueButton,response_rating_scale_likert_active,4402,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"Just because I do eat meat, it doesn't mean I do not care for animals.",24/02/2022 16:48,24/02/2022 16:59,R_2Wx4CW5Ir4FULQt,YES,Yes,Somewhat Confident,NA,Strongly Agree,NA,NA,NA,Neither Agree nor Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,A few times a year,A few times a year,23,Female,NA,"Undergraduate degree (BSc, BA)",I really enjoyed this study. It was quite thought provoking and made me realise that I do not try to shove veganism down people's throat.,3,1,For,Against
17,1646244411737,02/03/2022 18:06:51,1646244411690,0,02/03/2022 18:06:51,81174,6,task-t3d4,NA,19994452,5923157,NA,complete,NA,621fb1babfe358e9a497251d,mobile,Apple iPhone,iOS 15.2.1,Safari undefined,414x896,800x339,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,55,15,1,Screen 1,continueButton,response_rating_scale_likert_active,3028,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It's the Best Way to Help Animals,24/02/2022 16:58,24/02/2022 17:04,R_4I6IGcZhPSbxrR7,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Agree,Neither Agree nor Disagree,Disagree,Most weeks,Most days,25,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",I am very happy to fill something with this subject.,9,1,For,For
18,1646244414441,02/03/2022 18:06:54,1646244414386,0,02/03/2022 18:06:54,81174,6,task-t3d4,NA,19994452,5923157,NA,complete,NA,621fb1babfe358e9a497251d,mobile,Apple iPhone,iOS 15.2.1,Safari undefined,414x896,800x339,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,31,16,1,Screen 1,continueButton,response_rating_scale_likert_active,2677,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Animal protection and some ethical considerations,24/02/2022 16:50,24/02/2022 17:01,R_1feBl1EgjD9sS0W,YES,Yes,Confident,NA,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,A few times a year,Most months,28,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,5,1,For,For
19,1646244418232,02/03/2022 18:06:58,1646244418192,0,02/03/2022 18:06:58,81174,6,task-t3d4,NA,19994452,5923157,NA,complete,NA,621fb1babfe358e9a497251d,mobile,Apple iPhone,iOS 15.2.1,Safari undefined,414x896,800x339,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,3,17,1,Screen 1,continueButton,response_rating_scale_likert_active,3783,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"We would like to check you are reading each argument carefully. Please select ""Somewhat agree"" for this answer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check2,NA,NA
20,1646244423967,02/03/2022 18:07:03,1646244423915,0,02/03/2022 18:07:03,81174,6,task-t3d4,NA,19994452,5923157,NA,complete,NA,621fb1babfe358e9a497251d,mobile,Apple iPhone,iOS 15.2.1,Safari undefined,414x896,800x339,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,34,18,1,Screen 1,continueButton,response_rating_scale_likert_active,5702,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,their family is not vegan,24/02/2022 16:58,24/02/2022 17:03,R_12SwVlFWhtN72N2,YES,Yes,Somewhat Confident,NA,Somewhat Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Rarely,Once or twice a year,24,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,6,1,For,Against
