Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1646330000000,03/03/2022 19:10,1646330000000,1,03/03/2022 20:10,81174,8,task-39lm,NA,20034590,5934244,NA,complete,NA,62211263d24811077ea7558a,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1536x792,NA,ITT Ratings,7,for,5,fiv_60_vegan,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1646330000000,03/03/2022 19:10,1646330000000,1,03/03/2022 20:10,81174,8,task-39lm,NA,20034590,5934244,NA,complete,NA,62211263d24811077ea7558a,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1536x792,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,1,1,1,Screen 1,advancementZone,continue_button,8382.3,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1646330000000,03/03/2022 19:10,1646330000000,1,03/03/2022 20:10,81174,8,task-39lm,NA,20034590,5934244,NA,complete,NA,62211263d24811077ea7558a,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1536x792,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,41,1,1,Screen 1,continueButton,response_rating_scale_likert_active,2847.9,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Humans are carnivores,1,24/02/2022 17:18,24/02/2022 17:21,R_2thDHaLQGega0ap,YES,Yes,Very confident,NA,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Disagree,Disagree,Rarely,Once or twice a year,27,Female,NA,"Undergraduate degree (BSc, BA)",NA,47,2,For,Against
4,1646330000000,03/03/2022 19:10,1646330000000,1,03/03/2022 20:10,81174,8,task-39lm,NA,20034590,5934244,NA,complete,NA,62211263d24811077ea7558a,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1536x792,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,45,2,1,Screen 1,continueButton,response_rating_scale_likert_active,4190.3,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Doing it for health,1,24/02/2022 17:18,24/02/2022 17:21,R_2thDHaLQGega0ap,YES,Yes,Very confident,NA,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Disagree,Disagree,Rarely,Once or twice a year,27,Female,NA,"Undergraduate degree (BSc, BA)",NA,47,3,For,For
5,1646330000000,03/03/2022 19:10,1646330000000,1,03/03/2022 20:10,81174,8,task-39lm,NA,20034590,5934244,NA,complete,NA,62211263d24811077ea7558a,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1536x792,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,31,3,1,Screen 1,continueButton,response_rating_scale_likert_active,7178.2,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Animals are a form of life and should not be treated as an inferior being when there are plenty of other options,1,24/02/2022 17:07,24/02/2022 17:21,R_3Oizxz9yRooNKsI,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Agree,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,A few times a year,A few times a year,21,Non-binary,NA,"Undergraduate degree (BSc, BA)",NA,45,1,For,For
6,1646330000000,03/03/2022 19:11,1646330000000,1,03/03/2022 20:11,81174,8,task-39lm,NA,20034590,5934244,NA,complete,NA,62211263d24811077ea7558a,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1536x792,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,16,4,1,Screen 1,continueButton,response_rating_scale_likert_active,34708.2,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,my body needs meat,1,24/02/2022 17:17,24/02/2022 17:21,R_3iz1rFVerrnQ9BL,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Disagree,Most months,Most months,28,Female,NA,A levels,NA,43,1,For,Against
7,1646330000000,03/03/2022 19:11,1646330000000,1,03/03/2022 20:11,81174,8,task-39lm,NA,20034590,5934244,NA,complete,NA,62211263d24811077ea7558a,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1536x792,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,48,5,1,Screen 1,continueButton,response_rating_scale_likert_active,10480,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It's expensive to be vegan,1,24/02/2022 17:16,24/02/2022 17:21,R_5on1IhGWjSCCrV7,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Most months,Most weeks,27,Male,NA,"Undergraduate degree (BSc, BA)",NA,48,3,For,Against
8,1646330000000,03/03/2022 19:11,1646330000000,1,03/03/2022 20:11,81174,8,task-39lm,NA,20034590,5934244,NA,complete,NA,62211263d24811077ea7558a,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1536x792,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,56,6,1,Screen 1,continueButton,response_rating_scale_likert_active,41363.6,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"because animals are not for eating, they are treated badly",1,24/02/2022 17:06,24/02/2022 17:22,R_yxx6W2nSiExKFnr,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Somewhat Agree,Strongly Agree,Strongly Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Agree,A few times a year,Once or twice a year,26,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,49,2,For,For
9,1646330000000,03/03/2022 19:11,1646330000000,1,03/03/2022 20:11,81174,8,task-39lm,NA,20034590,5934244,NA,complete,NA,62211263d24811077ea7558a,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1536x792,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,17,7,1,Screen 1,continueButton,response_rating_scale_likert_active,3325.7,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I like animal products,1,24/02/2022 17:17,24/02/2022 17:21,R_3iz1rFVerrnQ9BL,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Disagree,Most months,Most months,28,Female,NA,A levels,NA,43,2,For,Against
10,1646330000000,03/03/2022 19:12,1646330000000,1,03/03/2022 20:12,81174,8,task-39lm,NA,20034590,5934244,NA,complete,NA,62211263d24811077ea7558a,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1536x792,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,30,8,1,Screen 1,continueButton,response_rating_scale_likert_active,26028.2,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,it's easier to eat at a restaurant or buy ready-to-eat food when you are not vegan,1,24/02/2022 17:07,24/02/2022 17:21,R_3Oizxz9yRooNKsI,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Agree,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,A few times a year,A few times a year,21,Non-binary,NA,"Undergraduate degree (BSc, BA)",NA,45,3,For,Against
