Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
34,1646420000000,04/03/2022 19:07,1646420000000,0,04/03/2022 19:07,81174,9,task-8jq2,NA,20083748,5947588,NA,complete,NA,622262469ba63e2f5cad93d4,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,712x292,NA,ITT Ratings,7,for,3,thi_60_vegan,thi_60_vegan,49,30,1,Screen 1,continueButton,response_rating_scale_likert_active,3323,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I dont want to eat animals,1,24/02/2022 17:12,24/02/2022 17:16,R_1N7Zjbaf2cZNQgP,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Disagree,Disagree,Agree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Agree,Once or twice a year,Most days,43,Female,NA,Vocational Training / Apprenticeship,NA,28,1,For,For
35,1646420000000,04/03/2022 19:07,1646420000000,0,04/03/2022 19:07,81174,9,task-8jq2,NA,20083748,5947588,NA,complete,NA,622262469ba63e2f5cad93d4,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,712x292,NA,ITT Ratings,7,for,3,thi_60_vegan,thi_60_vegan,47,31,1,Screen 1,continueButton,response_rating_scale_likert_active,2205,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,dont realise what animals are put through,1,24/02/2022 17:12,24/02/2022 17:16,R_1N7Zjbaf2cZNQgP,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Disagree,Disagree,Agree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Agree,Once or twice a year,Most days,43,Female,NA,Vocational Training / Apprenticeship,NA,28,2,For,Against
36,1646420000000,04/03/2022 19:07,1646420000000,0,04/03/2022 19:07,81174,9,task-8jq2,NA,20083748,5947588,NA,complete,NA,622262469ba63e2f5cad93d4,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,712x292,NA,ITT Ratings,7,for,3,thi_60_vegan,thi_60_vegan,56,32,1,Screen 1,continueButton,response_rating_scale_likert_active,4240,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I believe that an animal-based diet harms our health in the long run,1,24/02/2022 17:09,24/02/2022 17:16,R_3mmVXQMO4m9wso6,YES,Yes,Somewhat doubtful,NA,Neither Agree nor Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Neither Agree nor Disagree,A few times a year,Most months,21,Female,NA,"Undergraduate degree (BSc, BA)",NA,29,2,For,For
37,1646420000000,04/03/2022 19:07,1646420000000,0,04/03/2022 19:07,81174,9,task-8jq2,NA,20083748,5947588,NA,complete,NA,622262469ba63e2f5cad93d4,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,712x292,NA,ITT Ratings,7,for,3,thi_60_vegan,thi_60_vegan,19,33,1,Screen 1,continueButton,response_rating_scale_likert_active,3451,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"For the animals, I don't want to cause any more suffering.",1,24/02/2022 17:05,24/02/2022 17:12,R_25yJHfH3DhUzl1S,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Agree,Somewhat Agree,Neither Agree nor Disagree,Most months,Most weeks,36,Female,NA,A levels,NA,23,1,For,For
38,1646420000000,04/03/2022 19:07,1646420000000,0,04/03/2022 19:07,81174,9,task-8jq2,NA,20083748,5947588,NA,complete,NA,622262469ba63e2f5cad93d4,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,712x292,NA,ITT Ratings,7,for,3,thi_60_vegan,thi_60_vegan,3,34,1,Screen 1,continueButton,response_rating_scale_likert_active,4714,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select “Somewhat Disagree” for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check2,NA,NA
39,1646420000000,04/03/2022 19:07,1646420000000,0,04/03/2022 19:07,81174,9,task-8jq2,NA,20083748,5947588,NA,complete,NA,622262469ba63e2f5cad93d4,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,712x292,NA,ITT Ratings,7,for,3,thi_60_vegan,thi_60_vegan,30,35,1,Screen 1,continueButton,response_rating_scale_likert_active,3448,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Vegan food is plain and I don't want to only eat salad for the rest of my days,1,24/02/2022 17:05,24/02/2022 17:14,R_2sXaxZWHWMHPtLf,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Agree,NA,NA,NA,Agree,Agree,Somewhat Agree,Most months,A few times a year,25,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,25,3,For,Against
40,1646420000000,04/03/2022 19:07,1646420000000,0,04/03/2022 19:07,81174,9,task-8jq2,NA,20083748,5947588,NA,complete,NA,622262469ba63e2f5cad93d4,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,712x292,NA,ITT Ratings,7,for,3,thi_60_vegan,thi_60_vegan,12,36,1,Screen 1,continueButton,response_rating_scale_likert_active,4077,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,More people who eat the same way.,1,24/02/2022 17:06,24/02/2022 17:12,R_2aRytINljELWwFe,YES,Yes,Very confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Most months,Most weeks,24,Male,NA,Vocational Training / Apprenticeship,NA,22,3,For,Against
41,1646420000000,04/03/2022 19:07,1646420000000,0,04/03/2022 19:07,81174,9,task-8jq2,NA,20083748,5947588,NA,complete,NA,622262469ba63e2f5cad93d4,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,712x292,NA,ITT Ratings,7,for,3,thi_60_vegan,thi_60_vegan,46,37,1,Screen 1,continueButton,response_rating_scale_likert_active,2117,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,dont want to change what I eat,1,24/02/2022 17:12,24/02/2022 17:16,R_1N7Zjbaf2cZNQgP,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Disagree,Disagree,Agree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Agree,Once or twice a year,Most days,43,Female,NA,Vocational Training / Apprenticeship,NA,28,1,For,Against
42,1646420000000,04/03/2022 19:07,1646420000000,0,04/03/2022 19:07,81174,9,task-8jq2,NA,20083748,5947588,NA,complete,NA,622262469ba63e2f5cad93d4,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,712x292,NA,ITT Ratings,7,for,3,thi_60_vegan,thi_60_vegan,18,38,1,Screen 1,continueButton,response_rating_scale_likert_active,2388,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"We evolved to consume meat, we have canines",1,24/02/2022 17:05,24/02/2022 17:12,R_25yJHfH3DhUzl1S,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Agree,Somewhat Agree,Neither Agree nor Disagree,Most months,Most weeks,36,Female,NA,A levels,NA,23,3,For,Against
43,1646420000000,04/03/2022 19:08,1646420000000,0,04/03/2022 19:08,81174,9,task-8jq2,NA,20083748,5947588,NA,complete,NA,622262469ba63e2f5cad93d4,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,712x292,NA,ITT Ratings,7,for,3,thi_60_vegan,thi_60_vegan,29,39,1,Screen 1,continueButton,response_rating_scale_likert_active,3158,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It's too hard and I don't have/want to have the strength to do it,1,24/02/2022 17:05,24/02/2022 17:14,R_2sXaxZWHWMHPtLf,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Agree,NA,NA,NA,Agree,Agree,Somewhat Agree,Most months,A few times a year,25,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,25,2,For,Against
