Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
11,1646420000000,04/03/2022 19:10,1646420000000,0,04/03/2022 19:10,81174,9,task-39lm,NA,20083921,5947627,NA,complete,NA,622263945c5853bfe4a5b571,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,414x896,800x331,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,61,9,1,Screen 1,continueButton,response_rating_scale_likert_active,6546,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,animals have a right not to be exploited and murdered,1,24/02/2022 17:18,24/02/2022 17:22,R_1LZgfX2H59dKr39,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,A few times a year,Most months,23,Male,NA,"Undergraduate degree (BSc, BA)",NA,50,1,For,For
12,1646420000000,04/03/2022 19:10,1646420000000,0,04/03/2022 19:10,81174,9,task-39lm,NA,20083921,5947627,NA,complete,NA,622263945c5853bfe4a5b571,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,414x896,800x331,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,13,10,1,Screen 1,continueButton,response_rating_scale_likert_active,10953,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,To not cause suffering to the animals (ethics),1,24/02/2022 17:14,24/02/2022 17:20,R_3DpU6V6TKeqF4gz,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Agree,NA,NA,NA,Agree,Somewhat Disagree,Somewhat Agree,Rarely,Most weeks,36,Female,NA,A levels,"It's an interesting one, thank you!",42,1,For,For
13,1646420000000,04/03/2022 19:10,1646420000000,0,04/03/2022 19:10,81174,9,task-39lm,NA,20083921,5947627,NA,complete,NA,622263945c5853bfe4a5b571,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,414x896,800x331,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,18,11,1,Screen 1,continueButton,response_rating_scale_likert_active,4982,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"Habit, tradition, it's always been like this",1,24/02/2022 17:17,24/02/2022 17:21,R_3iz1rFVerrnQ9BL,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Disagree,Most months,Most months,28,Female,NA,A levels,NA,43,3,For,Against
14,1646420000000,04/03/2022 19:10,1646420000000,0,04/03/2022 19:10,81174,9,task-39lm,NA,20083921,5947627,NA,complete,NA,622263945c5853bfe4a5b571,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,414x896,800x331,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,29,12,1,Screen 1,continueButton,response_rating_scale_likert_active,3240,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I tried to eat plant based food once and felt sick,1,24/02/2022 17:07,24/02/2022 17:21,R_3Oizxz9yRooNKsI,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Agree,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,A few times a year,A few times a year,21,Non-binary,NA,"Undergraduate degree (BSc, BA)",NA,45,2,For,Against
15,1646420000000,04/03/2022 19:10,1646420000000,0,04/03/2022 19:10,81174,9,task-39lm,NA,20083921,5947627,NA,complete,NA,622263945c5853bfe4a5b571,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,414x896,800x331,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,40,13,1,Screen 1,continueButton,response_rating_scale_likert_active,1516,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I love bacon,1,24/02/2022 17:18,24/02/2022 17:21,R_2thDHaLQGega0ap,YES,Yes,Very confident,NA,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Disagree,Disagree,Rarely,Once or twice a year,27,Female,NA,"Undergraduate degree (BSc, BA)",NA,47,1,For,Against
16,1646420000000,04/03/2022 19:11,1646420000000,0,04/03/2022 19:11,81174,9,task-39lm,NA,20083921,5947627,NA,complete,NA,622263945c5853bfe4a5b571,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,414x896,800x331,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,22,14,1,Screen 1,continueButton,response_rating_scale_likert_active,11100,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I wouldn't get enough protein if I was vegan.,1,24/02/2022 17:14,24/02/2022 17:21,R_1nMF0tJrbh4zSBp,YES,Yes,Very confident,NA,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Somewhat Agree,Disagree,Disagree,Once or twice a year,Rarely,50,Female,NA,"Undergraduate degree (BSc, BA)",NA,44,1,For,Against
17,1646420000000,04/03/2022 19:11,1646420000000,0,04/03/2022 19:11,81174,9,task-39lm,NA,20083921,5947627,NA,complete,NA,622263945c5853bfe4a5b571,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,414x896,800x331,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,59,15,1,Screen 1,continueButton,response_rating_scale_likert_active,9274,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to support traditional practices,1,24/02/2022 17:18,24/02/2022 17:22,R_1LZgfX2H59dKr39,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,A few times a year,Most months,23,Male,NA,"Undergraduate degree (BSc, BA)",NA,50,2,For,Against
18,1646420000000,04/03/2022 19:11,1646420000000,0,04/03/2022 19:11,81174,9,task-39lm,NA,20083921,5947627,NA,complete,NA,622263945c5853bfe4a5b571,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,414x896,800x331,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,37,16,1,Screen 1,continueButton,response_rating_scale_likert_active,14503,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,The environmental impact it causes to be vegan vs the environmental impact it causes not being vegan,1,24/02/2022 17:05,24/02/2022 17:21,R_2aaSasoHMaHdgdw,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Strongly Disagree,Disagree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Disagree,Most weeks,Most weeks,25,Female,NA,"Undergraduate degree (BSc, BA)",NA,46,1,For,For
19,1646420000000,04/03/2022 19:11,1646420000000,0,04/03/2022 19:11,81174,9,task-39lm,NA,20083921,5947627,NA,complete,NA,622263945c5853bfe4a5b571,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,414x896,800x331,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,47,17,1,Screen 1,continueButton,response_rating_scale_likert_active,4000,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I need meat to survive otherwise I feel hungry,1,24/02/2022 17:16,24/02/2022 17:21,R_5on1IhGWjSCCrV7,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Most months,Most weeks,27,Male,NA,"Undergraduate degree (BSc, BA)",NA,48,2,For,Against
20,1646420000000,04/03/2022 19:11,1646420000000,0,04/03/2022 19:11,81174,9,task-39lm,NA,20083921,5947627,NA,complete,NA,622263945c5853bfe4a5b571,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,414x896,800x331,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,4,18,1,Screen 1,continueButton,response_rating_scale_likert_active,6676,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Meat is important for us and people have been eating it for years.,1,24/02/2022 17:11,24/02/2022 17:20,R_3DcrI2n6nhs7ACO,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,Most months,Most weeks,36,Male,NA,"Undergraduate degree (BSc, BA)",NA,41,1,For,Against
21,1646420000000,04/03/2022 19:11,1646420000000,0,04/03/2022 19:11,81174,9,task-39lm,NA,20083921,5947627,NA,complete,NA,622263945c5853bfe4a5b571,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,414x896,800x331,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,63,19,1,Screen 1,continueButton,response_rating_scale_likert_active,5707,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,consuming animal products is detrimental to your health,1,24/02/2022 17:18,24/02/2022 17:22,R_1LZgfX2H59dKr39,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,A few times a year,Most months,23,Male,NA,"Undergraduate degree (BSc, BA)",NA,50,3,For,For
22,1646420000000,04/03/2022 19:11,1646420000000,0,04/03/2022 19:11,81174,9,task-39lm,NA,20083921,5947627,NA,complete,NA,622263945c5853bfe4a5b571,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,414x896,800x331,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,58,20,1,Screen 1,continueButton,response_rating_scale_likert_active,5305,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I value taste of animal products over morals,1,24/02/2022 17:18,24/02/2022 17:22,R_1LZgfX2H59dKr39,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,A few times a year,Most months,23,Male,NA,"Undergraduate degree (BSc, BA)",NA,50,1,For,Against
23,1646420000000,04/03/2022 19:11,1646420000000,0,04/03/2022 19:11,81174,9,task-39lm,NA,20083921,5947627,NA,complete,NA,622263945c5853bfe4a5b571,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,414x896,800x331,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,15,21,1,Screen 1,continueButton,response_rating_scale_likert_active,4478,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,For their own personal health benefits,1,24/02/2022 17:14,24/02/2022 17:20,R_3DpU6V6TKeqF4gz,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Agree,NA,NA,NA,Agree,Somewhat Disagree,Somewhat Agree,Rarely,Most weeks,36,Female,NA,A levels,"It's an interesting one, thank you!",42,3,For,For
24,1646420000000,04/03/2022 19:12,1646420000000,0,04/03/2022 19:12,81174,9,task-39lm,NA,20083921,5947627,NA,complete,NA,622263945c5853bfe4a5b571,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,414x896,800x331,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,8,22,1,Screen 1,continueButton,response_rating_scale_likert_active,5803,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,A vegan diet is better for your health.,1,24/02/2022 17:11,24/02/2022 17:20,R_3DcrI2n6nhs7ACO,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,Most months,Most weeks,36,Male,NA,"Undergraduate degree (BSc, BA)",NA,41,2,For,For
25,1646420000000,04/03/2022 19:12,1646420000000,0,04/03/2022 19:12,81174,9,task-39lm,NA,20083921,5947627,NA,complete,NA,622263945c5853bfe4a5b571,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,414x896,800x331,NA,ITT Ratings,7,for,5,fiv_60_vegan,fiv_60_vegan,23,23,1,Screen 1,continueButton,response_rating_scale_likert_active,6147,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't have my food cupboards set up to be vegan.,1,24/02/2022 17:14,24/02/2022 17:21,R_1nMF0tJrbh4zSBp,YES,Yes,Very confident,NA,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Somewhat Agree,Disagree,Disagree,Once or twice a year,Rarely,50,Female,NA,"Undergraduate degree (BSc, BA)",NA,44,2,For,Against
