Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1647360000000,15/03/2022 16:00,1647360000000,-4,15/03/2022 12:00,81174,11,task-t3d4,NA,20410067,6054722,NA,complete,NA,6230b72a741d32fd8881a8d2,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 98.0.4758.109,1440x900,1309x693,NA,ITT Ratings,7,for,2,sec_60_vegan,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1647360000000,15/03/2022 16:01,1647360000000,-4,15/03/2022 12:01,81174,11,task-t3d4,NA,20410067,6054722,NA,complete,NA,6230b72a741d32fd8881a8d2,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 98.0.4758.109,1440x900,1309x693,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,1,1,1,Screen 1,advancementZone,continue_button,9108,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1647360000000,15/03/2022 16:01,1647360000000,-4,15/03/2022 12:01,81174,11,task-t3d4,NA,20410067,6054722,NA,complete,NA,6230b72a741d32fd8881a8d2,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 98.0.4758.109,1440x900,1309x693,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,3,1,1,Screen 1,continueButton,response_rating_scale_likert_active,9457.6,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select “Somewhat Disagree” for this answer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check2,NA,NA
4,1647360000000,15/03/2022 16:01,1647360000000,-4,15/03/2022 12:01,81174,11,task-t3d4,NA,20410067,6054722,NA,complete,NA,6230b72a741d32fd8881a8d2,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 98.0.4758.109,1440x900,1309x693,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,44,2,1,Screen 1,continueButton,response_rating_scale_likert_active,5537.5,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It prevents cruelty to animals.,1,24/02/2022 17:04,24/02/2022 17:09,R_tJMKHXj067CzFwB,YES,Yes,Confident,NA,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Rarely,Most months,38,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,17,2,For,For
5,1647360000000,15/03/2022 16:01,1647360000000,-4,15/03/2022 12:01,81174,11,task-t3d4,NA,20410067,6054722,NA,complete,NA,6230b72a741d32fd8881a8d2,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 98.0.4758.109,1440x900,1309x693,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,46,3,1,Screen 1,continueButton,response_rating_scale_likert_active,5139.2,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"Vegan diet is too hard to be on (I love meat, cheese etc.).",1,24/02/2022 17:01,24/02/2022 17:10,R_3PLl88vhtROEyhl,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Agree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,A few times a year,A few times a year,21,Female,NA,NA,NA,18,1,For,Against
6,1647360000000,15/03/2022 16:01,1647360000000,-4,15/03/2022 12:01,81174,11,task-t3d4,NA,20410067,6054722,NA,complete,NA,6230b72a741d32fd8881a8d2,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 98.0.4758.109,1440x900,1309x693,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,60,4,1,Screen 1,continueButton,response_rating_scale_likert_active,16282.3,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"I'm not vegan because I love meat too much. I could never ditch cheese. Plus, vegan are always trying to spread their propaganda and that puts me off of their cult-like ideology.",1,24/02/2022 17:00,24/02/2022 17:10,R_3gR7Vq0rqf4GlTd,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,A few times a year,Most days,29,Male,NA,"Undergraduate degree (BSc, BA)",NA,20,3,For,Against
7,1647360000000,15/03/2022 16:01,1647360000000,-4,15/03/2022 12:01,81174,11,task-t3d4,NA,20410067,6054722,NA,complete,NA,6230b72a741d32fd8881a8d2,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 98.0.4758.109,1440x900,1309x693,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,22,5,1,Screen 1,continueButton,response_rating_scale_likert_active,3338.3,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Vegan cooking is bland,1,24/02/2022 17:00,24/02/2022 17:07,R_2rMlvuMRzJ7y54z,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Agree,Strongly Agree,NA,NA,NA,Agree,Agree,Neither Agree nor Disagree,Never,Most days,24,Non-binary,NA,"Undergraduate degree (BSc, BA)",NA,14,1,For,Against
8,1647360000000,15/03/2022 16:01,1647360000000,-4,15/03/2022 12:01,81174,11,task-t3d4,NA,20410067,6054722,NA,complete,NA,6230b72a741d32fd8881a8d2,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 98.0.4758.109,1440x900,1309x693,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,53,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2903.9,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The animals are put down painlessly,1,24/02/2022 17:07,24/02/2022 17:10,R_3IbLSeYKb4fpYKT,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Agree,Agree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Disagree,A few times a year,Most weeks,23,Male,NA,"Undergraduate degree (BSc, BA)",NA,19,2,For,Against
9,1647360000000,15/03/2022 16:01,1647360000000,-4,15/03/2022 12:01,81174,11,task-t3d4,NA,20410067,6054722,NA,complete,NA,6230b72a741d32fd8881a8d2,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 98.0.4758.109,1440x900,1309x693,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,13,7,1,Screen 1,continueButton,response_rating_scale_likert_active,8632.6,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,To stop participating in animal abuse by stopping financial support to the animal industry,1,24/02/2022 16:56,24/02/2022 17:06,R_2s1KxDHP9zZECjS,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,NA,NA,NA,Agree,Somewhat Agree,Strongly Agree,Most days,Most weeks,27,Female,NA,Doctorate (PhD),"The only ""argument"" I usually accept from NON-vegans is the ""I don't care about animals enough to stop eating/abusing them"". If they can acknowledge that it is an irrational preference, that they value their pleasure more than the lives of these animals, I can respect that position as the only one that is consistent.

Most of the non-vegans I have encountered however don't come to this ""argument"" from the start, they get to it much later in the discussion.

I don't hold anyone that cannot be vegan for (diagnosed) medical reasons or for food availability accountable. All others have a choice, they are just lazy about their ethics and their efforts.",12,1,For,For
10,1647360000000,15/03/2022 16:01,1647360000000,-4,15/03/2022 12:01,81174,11,task-t3d4,NA,20410067,6054722,NA,complete,NA,6230b72a741d32fd8881a8d2,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 98.0.4758.109,1440x900,1309x693,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,57,8,1,Screen 1,continueButton,response_rating_scale_likert_active,2356.9,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,To have a better planet,1,24/02/2022 17:07,24/02/2022 17:10,R_3IbLSeYKb4fpYKT,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Agree,Agree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Disagree,A few times a year,Most weeks,23,Male,NA,"Undergraduate degree (BSc, BA)",NA,19,3,For,For
