Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
11,1646330000000,03/03/2022 19:04,1646330000000,0,03/03/2022 19:04,81174,8,task-iytf,NA,20034376,5934182,NA,complete,NA,6221109dc11e48679826beda,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,2560x1440,2560x1282,NA,ITT Ratings,7,for,6,six_60_vegan,six_60_vegan,61,9,1,Screen 1,continueButton,response_rating_scale_likert_active,5210,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It is part of my heritage and culture of where I grew up,1,24/02/2022 17:16,24/02/2022 17:25,R_bBNHubc5786f5df,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Agree,Rarely,Most months,66,Male,NA,Vocational Training / Apprenticeship,NA,60,1,For,For
12,1646330000000,03/03/2022 19:04,1646330000000,0,03/03/2022 19:04,81174,8,task-iytf,NA,20034376,5934182,NA,complete,NA,6221109dc11e48679826beda,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,2560x1440,2560x1282,NA,ITT Ratings,7,for,6,six_60_vegan,six_60_vegan,11,10,1,Screen 1,continueButton,response_rating_scale_likert_active,14828,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"I like to eat meat because it's tasty,it's comfort food that I grew up on and I don't want to eat rabbit food.I don't like vegetables .Besides,I get anemic and mt doctor says red meat is a good source",1,24/02/2022 17:07,24/02/2022 17:22,R_bKhzwF3YKXI7qql,YES,Yes,Confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Agree,Agree,Somewhat Agree,Rarely,A few times a year,31,Female,NA,GCSEs,NA,52,2,For,Against
13,1646330000000,03/03/2022 19:04,1646330000000,0,03/03/2022 19:04,81174,8,task-iytf,NA,20034376,5934182,NA,complete,NA,6221109dc11e48679826beda,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,2560x1440,2560x1282,NA,ITT Ratings,7,for,6,six_60_vegan,six_60_vegan,41,11,1,Screen 1,continueButton,response_rating_scale_likert_active,7471,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Being vegan is not going to stop global heating. You need to tackle the big polluting industries,1,24/02/2022 17:14,24/02/2022 17:24,R_Qc5ezRlOMOkYi8p,YES,Yes,Confident,NA,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,Most months,42,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,57,2,For,Against
14,1646330000000,03/03/2022 19:04,1646330000000,0,03/03/2022 19:04,81174,8,task-iytf,NA,20034376,5934182,NA,complete,NA,6221109dc11e48679826beda,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,2560x1440,2560x1282,NA,ITT Ratings,7,for,6,six_60_vegan,six_60_vegan,39,12,1,Screen 1,continueButton,response_rating_scale_likert_active,6594,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Moral consistency - acting in an ethical manner in everyday life,1,24/02/2022 17:19,24/02/2022 17:23,R_1QawN5ZuKrZKU9c,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Disagree,A few times a year,Most months,25,Male,NA,"Undergraduate degree (BSc, BA)",NA,56,3,For,For
15,1646330000000,03/03/2022 19:04,1646330000000,0,03/03/2022 19:04,81174,8,task-iytf,NA,20034376,5934182,NA,complete,NA,6221109dc11e48679826beda,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,2560x1440,2560x1282,NA,ITT Ratings,7,for,6,six_60_vegan,six_60_vegan,13,13,1,Screen 1,continueButton,response_rating_scale_likert_active,6872,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We all have to play a part in reducing global warming and factory farming is a huge contributor as well as a waste of resources such as growing crops to grow livestock uses  much water & deforestation,1,24/02/2022 17:07,24/02/2022 17:22,R_bKhzwF3YKXI7qql,YES,Yes,Confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Agree,Agree,Somewhat Agree,Rarely,A few times a year,31,Female,NA,GCSEs,NA,52,1,For,For
16,1646330000000,03/03/2022 19:05,1646330000000,0,03/03/2022 19:05,81174,8,task-iytf,NA,20034376,5934182,NA,complete,NA,6221109dc11e48679826beda,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,2560x1440,2560x1282,NA,ITT Ratings,7,for,6,six_60_vegan,six_60_vegan,14,14,1,Screen 1,continueButton,response_rating_scale_likert_active,10856,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Human & unnecessary animal cruelty - Breeding chickens not only results in pollution but in an increased risk of antibiotics resistance to be able to have so many birds in small spaces & new viruses,1,24/02/2022 17:07,24/02/2022 17:22,R_bKhzwF3YKXI7qql,YES,Yes,Confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Agree,Agree,Somewhat Agree,Rarely,A few times a year,31,Female,NA,GCSEs,NA,52,2,For,For
17,1646330000000,03/03/2022 19:05,1646330000000,0,03/03/2022 19:05,81174,8,task-iytf,NA,20034376,5934182,NA,complete,NA,6221109dc11e48679826beda,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,2560x1440,2560x1282,NA,ITT Ratings,7,for,6,six_60_vegan,six_60_vegan,49,15,1,Screen 1,continueButton,response_rating_scale_likert_active,10340,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"Health: Antibiotics, hormones, cancer, colon issues",1,24/02/2022 17:18,24/02/2022 17:24,R_1K0vqJ8SvWExZzY,YES,Yes,Confident,NA,Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Most days,Most days,36,Male,NA,"Undergraduate degree (BSc, BA)",NA,58,1,For,For
18,1646330000000,03/03/2022 19:05,1646330000000,0,03/03/2022 19:05,81174,8,task-iytf,NA,20034376,5934182,NA,complete,NA,6221109dc11e48679826beda,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,2560x1440,2560x1282,NA,ITT Ratings,7,for,6,six_60_vegan,six_60_vegan,9,16,1,Screen 1,continueButton,response_rating_scale_likert_active,4580,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It is a healthier diet to follow,1,24/02/2022 17:18,24/02/2022 17:22,R_3DumFhPRhK42LLi,YES,Yes,Somewhat Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,Rarely,Once or twice a year,31,Male,NA,A levels,NA,51,3,For,For
19,1646330000000,03/03/2022 19:05,1646330000000,0,03/03/2022 19:05,81174,8,task-iytf,NA,20034376,5934182,NA,complete,NA,6221109dc11e48679826beda,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,2560x1440,2560x1282,NA,ITT Ratings,7,for,6,six_60_vegan,six_60_vegan,12,17,1,Screen 1,continueButton,response_rating_scale_likert_active,13671,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"Being vegan is hard & not manly,I don't want my bros laughing at me.Vegetarianism is for girls who like pretty ponies.Eating meat gives me protein which I need to maintain these muscles when I workout",1,24/02/2022 17:07,24/02/2022 17:22,R_bKhzwF3YKXI7qql,YES,Yes,Confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Agree,Agree,Somewhat Agree,Rarely,A few times a year,31,Female,NA,GCSEs,NA,52,3,For,Against
20,1646330000000,03/03/2022 19:05,1646330000000,0,03/03/2022 19:05,81174,8,task-iytf,NA,20034376,5934182,NA,complete,NA,6221109dc11e48679826beda,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,2560x1440,2560x1282,NA,ITT Ratings,7,for,6,six_60_vegan,six_60_vegan,31,18,1,Screen 1,continueButton,response_rating_scale_likert_active,5559,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Ethics. Ethics. Ethics,1,24/02/2022 17:13,24/02/2022 17:23,R_WprIpA7ezJENV1T,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Disagree,A few times a year,Once or twice a year,42,Male,NA,"Undergraduate degree (BSc, BA)",NA,55,1,For,For
