Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1646419050966,04/03/2022 18:37:30,1646419055373,0,04/03/2022 18:37:35,81666,4,task-ogmx,NA,20082984,5947332,NA,complete,NA,62225c3c8ba294b5436ed7ca,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x937,NA,ITT Ratings,2,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1646419058625,04/03/2022 18:37:38,1646419063063,0,04/03/2022 18:37:43,81666,4,task-ogmx,NA,20082984,5947332,NA,complete,NA,62225c3c8ba294b5436ed7ca,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x937,NA,ITT Ratings,2,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,1,1,1,Screen 1,advancementZone,continue_button,7663.799999982119,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1646419068318,04/03/2022 18:37:48,1646419072777,0,04/03/2022 18:37:52,81666,4,task-ogmx,NA,20082984,5947332,NA,complete,NA,62225c3c8ba294b5436ed7ca,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x937,NA,ITT Ratings,2,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,23,1,1,Screen 1,continueButton,response_rating_scale_likert_active,9704.29999998212,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Cannot eat out easily,1,28/02/2022 18:45,28/02/2022 18:51,R_211AcJ4wTeQWBEw,YES,No,Doubtful,Agree,NA,Neither Agree nor Disagree,Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Rarely,Once or twice a year,20,Male,NA,A levels,NA,74,2,Against,Against
4,1646419070694,04/03/2022 18:37:50,1646419075162,0,04/03/2022 18:37:55,81666,4,task-ogmx,NA,20082984,5947332,NA,complete,NA,62225c3c8ba294b5436ed7ca,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x937,NA,ITT Ratings,2,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,57,2,1,Screen 1,continueButton,response_rating_scale_likert_active,2371.7999999821186,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,That meat is not healthy and is bad for your wellbeing.,1,28/02/2022 18:40,28/02/2022 18:53,R_3OprnCAz7jbZAAl,YES,No,Very Doubtful,Somewhat Agree,NA,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Most months,Most weeks,20,Male,NA,A levels,It was very interesting,79,3,Against,For
5,1646419074682,04/03/2022 18:37:54,1646419079140,0,04/03/2022 18:37:59,81666,4,task-ogmx,NA,20082984,5947332,NA,complete,NA,62225c3c8ba294b5436ed7ca,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x937,NA,ITT Ratings,2,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,40,3,1,Screen 1,continueButton,response_rating_scale_likert_active,3971.199999988079,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,the animals provide you all the nutrients and vitamins and proteins that you need to survive.,1,28/02/2022 18:39,28/02/2022 18:52,R_1FXxEjmXA6s9wvT,YES,No,Somewhat doubtful,Neither Agree nor Disagree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Once or twice a year,27,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,77,1,Against,Against
6,1646419077839,04/03/2022 18:37:57,1646419082295,0,04/03/2022 18:38:02,81666,4,task-ogmx,NA,20082984,5947332,NA,complete,NA,62225c3c8ba294b5436ed7ca,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x937,NA,ITT Ratings,2,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,37,4,1,Screen 1,continueButton,response_rating_scale_likert_active,3147.600000023842,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I love animal lives,1,28/02/2022 18:39,28/02/2022 18:51,R_3Rq2XIBzytcVEBM,YES,No,Confident,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Rarely,24,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,76,1,Against,For
7,1646419080751,04/03/2022 18:38:00,1646419085187,0,04/03/2022 18:38:05,81666,4,task-ogmx,NA,20082984,5947332,NA,complete,NA,62225c3c8ba294b5436ed7ca,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x937,NA,ITT Ratings,2,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,59,5,1,Screen 1,continueButton,response_rating_scale_likert_active,2885.9000000059605,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,too many animals in the world and no space,1,28/02/2022 18:39,28/02/2022 18:53,R_3q8NDKLrPSDS5Z4,YES,No,Doubtful,Agree,NA,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Never,Never,22,Female,NA,"Undergraduate degree (BSc, BA)",NA,80,2,Against,Against
8,1646419085492,04/03/2022 18:38:05,1646419089301,0,04/03/2022 18:38:09,81666,4,task-ogmx,NA,20082984,5947332,NA,complete,NA,62225c3c8ba294b5436ed7ca,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x937,NA,ITT Ratings,2,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,53,6,1,Screen 1,continueButton,response_rating_scale_likert_active,4108.199999988079,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I am not vegan because I love animal food or meat,1,28/02/2022 18:40,28/02/2022 18:53,R_3OprnCAz7jbZAAl,YES,No,Very Doubtful,Somewhat Agree,NA,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Most months,Most weeks,20,Male,NA,A levels,It was very interesting,79,2,Against,Against
9,1646419088824,04/03/2022 18:38:08,1646419093278,0,04/03/2022 18:38:13,81666,4,task-ogmx,NA,20082984,5947332,NA,complete,NA,62225c3c8ba294b5436ed7ca,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x937,NA,ITT Ratings,2,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,54,7,1,Screen 1,continueButton,response_rating_scale_likert_active,3970.5,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I am not vegan because I believe that animals were meant to be eaten by humans.,1,28/02/2022 18:40,28/02/2022 18:53,R_3OprnCAz7jbZAAl,YES,No,Very Doubtful,Somewhat Agree,NA,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Most months,Most weeks,20,Male,NA,A levels,It was very interesting,79,3,Against,Against
10,1646419094153,04/03/2022 18:38:14,1646419098618,0,04/03/2022 18:38:18,81666,4,task-ogmx,NA,20082984,5947332,NA,complete,NA,62225c3c8ba294b5436ed7ca,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x937,NA,ITT Ratings,2,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,10,8,1,Screen 1,continueButton,response_rating_scale_likert_active,5333.199999988079,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Vegans tend to have problems regarding the levels of protein and blood sugar because of their decision to not consume any kind of meat,1,28/02/2022 18:42,28/02/2022 18:51,R_1JQ4uWKoNcqkgfG,YES,No,Somewhat doubtful,Strongly agree,NA,Strongly Disagree,Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Most weeks,23,Male,NA,NA,NA,72,1,Against,Against
